infMethod,nDocs,time
Lightweight_MH_CPS,30,5.868506195
Lightweight_MH_CPS,30,6.555403848
Lightweight_MH_CPS,30,5.569856636
Lightweight_MH_CPS,30,5.307716306
Lightweight_MH_CPS,30,5.666119769
Lightweight_MH_CPS,30,5.550919931
Lightweight_MH_CPS,30,5.809976049
Lightweight_MH_CPS,30,6.118160486
Lightweight_MH_CPS,30,6.412100488
Lightweight_MH_CPS,30,6.187681024
Lightweight_MH_CPS,30,5.876632867
Lightweight_MH_CPS,30,5.31563869
Lightweight_MH_CPS,30,5.492062067
Lightweight_MH_CPS,30,5.825197145
Lightweight_MH_CPS,30,5.829554914
Lightweight_MH_CPS,30,6.129799896
Lightweight_MH_CPS,30,6.302500592
Lightweight_MH_CPS,30,6.265979112
Lightweight_MH_CPS,30,6.599557721
Lightweight_MH_CPS,30,5.470147525
Lightweight_MH_CPS,35,6.762203325
Lightweight_MH_CPS,35,7.144498064
Lightweight_MH_CPS,35,7.391624697
Lightweight_MH_CPS,35,7.696629396
Lightweight_MH_CPS,35,8.315174623
Lightweight_MH_CPS,35,8.395021261
Lightweight_MH_CPS,35,8.556872579
Lightweight_MH_CPS,35,6.7932865289999995
Lightweight_MH_CPS,35,7.090877754
Lightweight_MH_CPS,35,7.188460449
Lightweight_MH_CPS,35,7.349791205
Lightweight_MH_CPS,35,7.758700145
Lightweight_MH_CPS,35,7.896346996
Lightweight_MH_CPS,35,8.491001826
Lightweight_MH_CPS,35,8.766844061
Lightweight_MH_CPS,35,7.770964372
Lightweight_MH_CPS,35,6.887525721
Lightweight_MH_CPS,35,7.119734288
Lightweight_MH_CPS,35,7.596440462
Lightweight_MH_CPS,35,8.117465239
Lightweight_MH_CPS,40,9.481483863
Lightweight_MH_CPS,40,9.797231895
Lightweight_MH_CPS,40,9.927479546
Lightweight_MH_CPS,40,10.278002708
Lightweight_MH_CPS,40,8.042620494
Lightweight_MH_CPS,40,8.410962822
Lightweight_MH_CPS,40,8.793716102
Lightweight_MH_CPS,40,9.336448786
Lightweight_MH_CPS,40,9.394305381
Lightweight_MH_CPS,40,10.000479609
Lightweight_MH_CPS,40,11.007859482
Lightweight_MH_CPS,40,10.51208785
Lightweight_MH_CPS,40,8.123496393
Lightweight_MH_CPS,40,8.458774617
Lightweight_MH_CPS,40,8.66484916
Lightweight_MH_CPS,40,9.348140866
Lightweight_MH_CPS,40,9.771349004
Lightweight_MH_CPS,40,10.302100355
Lightweight_MH_CPS,40,10.840578889
Lightweight_MH_CPS,40,10.904692383
Lightweight_MH_CPS,45,9.981238524
Lightweight_MH_CPS,45,9.733021291
Lightweight_MH_CPS,45,10.044436949
Lightweight_MH_CPS,45,11.439385506
Lightweight_MH_CPS,45,11.188497013
Lightweight_MH_CPS,45,12.006331014
Lightweight_MH_CPS,45,12.099820875
Lightweight_MH_CPS,45,12.275415169
Lightweight_MH_CPS,45,9.571414689000001
Lightweight_MH_CPS,45,10.212106775
Lightweight_MH_CPS,45,10.921083996
Lightweight_MH_CPS,45,11.017562442
Lightweight_MH_CPS,45,11.113540518
Lightweight_MH_CPS,45,11.833436055
Lightweight_MH_CPS,45,11.858164562
Lightweight_MH_CPS,45,10.19685285
Lightweight_MH_CPS,45,9.28924535
Lightweight_MH_CPS,45,9.712937376
Lightweight_MH_CPS,45,10.383793427
Lightweight_MH_CPS,45,10.835503989
Lightweight_MH_CPS,50,13.346530121
Lightweight_MH_CPS,50,13.675885502
Lightweight_MH_CPS,50,13.369361258
Lightweight_MH_CPS,50,10.721655356
Lightweight_MH_CPS,50,11.498904311
Lightweight_MH_CPS,50,12.004698345
Lightweight_MH_CPS,50,12.704496051
Lightweight_MH_CPS,50,13.576919893
Lightweight_MH_CPS,50,13.483199215
Lightweight_MH_CPS,50,12.846679921
Lightweight_MH_CPS,50,11.203560169
Lightweight_MH_CPS,50,10.925579314
Lightweight_MH_CPS,50,13.085405392
Lightweight_MH_CPS,50,13.332022775
Lightweight_MH_CPS,50,13.668079343
Lightweight_MH_CPS,50,15.010188948
Lightweight_MH_CPS,50,10.726646231
Lightweight_MH_CPS,50,10.996331781
Lightweight_MH_CPS,50,11.874751585
Lightweight_MH_CPS,50,12.765719545
Incremental_MH,5,0.307104275
Incremental_MH,5,0.273532197
Incremental_MH,5,0.263715934
Incremental_MH,5,0.279454835
Incremental_MH,5,0.26512246
Incremental_MH,5,0.25715553
Incremental_MH,5,0.252795089
Incremental_MH,5,0.254820376
Incremental_MH,5,0.297971773
Incremental_MH,5,0.260582965
Incremental_MH,5,0.258117851
Incremental_MH,5,0.255927578
Incremental_MH,5,0.261686139
Incremental_MH,5,0.24942245
Incremental_MH,5,0.246384356
Incremental_MH,5,0.26231495
Incremental_MH,5,0.25996645
Incremental_MH,5,0.25382348
Incremental_MH,5,0.250772769
Incremental_MH,5,0.25604432
Incremental_MH,10,0.250917803
Incremental_MH,10,0.247757741
Incremental_MH,10,0.243992583
Incremental_MH,10,0.252714867
Incremental_MH,10,0.242743614
Incremental_MH,10,0.253060704
Incremental_MH,10,0.252479637
Incremental_MH,10,0.251669392
Incremental_MH,10,0.275654943
Incremental_MH,10,0.275996105
Incremental_MH,10,0.268409961
Incremental_MH,10,0.255181263
Incremental_MH,10,0.253329872
Incremental_MH,10,0.266016043
Incremental_MH,10,0.254517203
Incremental_MH,10,0.259830418
Incremental_MH,10,0.260256266
Incremental_MH,10,0.262451854
Incremental_MH,10,0.259277865
Incremental_MH,10,0.259921834
Incremental_MH,15,0.288528133
Incremental_MH,15,0.28576807
Incremental_MH,15,0.277196522
Incremental_MH,15,0.260955875
Incremental_MH,15,0.285357862
Incremental_MH,15,0.273619697
Incremental_MH,15,0.271373724
Incremental_MH,15,0.267878294
Incremental_MH,15,0.281327347
Incremental_MH,15,0.270587263
Incremental_MH,15,0.264385056
Incremental_MH,15,0.266660146
Incremental_MH,15,0.266232445
Incremental_MH,15,0.273981557
Incremental_MH,15,0.283168679
Incremental_MH,15,0.269591197
Incremental_MH,15,0.284700473
Incremental_MH,15,0.276075847
Incremental_MH,15,0.269404953
Incremental_MH,15,0.263922599
Incremental_MH,20,0.270120605
Incremental_MH,20,0.316263423
Incremental_MH,20,0.309017412
Incremental_MH,20,0.288619508
Incremental_MH,20,0.285632841
Incremental_MH,20,0.295406999
Incremental_MH,20,0.286166091
Incremental_MH,20,0.303924139
Incremental_MH,20,0.278428909
Incremental_MH,20,0.279701973
Incremental_MH,20,0.287498533
Incremental_MH,20,0.290111263
Incremental_MH,20,0.282999886
Incremental_MH,20,0.306718272
Incremental_MH,20,0.297794612
Incremental_MH,20,0.293415573
Incremental_MH,20,0.284762939
Incremental_MH,20,0.279885378
Incremental_MH,20,0.279005615
Incremental_MH,20,0.319479076
Incremental_MH,25,0.303683605
Incremental_MH,25,0.287431454
Incremental_MH,25,0.292284447
Incremental_MH,25,0.305434001
Incremental_MH,25,0.296411096
Incremental_MH,25,0.311042001
Incremental_MH,25,0.303965182
Incremental_MH,25,0.296047437
Incremental_MH,25,0.32179491
Incremental_MH,25,0.294903918
Incremental_MH,25,0.291096859
Incremental_MH,25,0.318255261
Incremental_MH,25,0.312598144
Incremental_MH,25,0.299693563
Incremental_MH,25,0.300206768
Incremental_MH,25,0.290809122
Incremental_MH,25,0.29596464
Incremental_MH,25,0.330516698
Incremental_MH,25,0.288599809
Incremental_MH,25,0.302946483
Incremental_MH,30,0.303421504
Incremental_MH,30,0.320228785
Incremental_MH,30,0.300880661
Incremental_MH,30,0.300930705
Incremental_MH,30,0.331471421
Incremental_MH,30,0.324311306
Incremental_MH,30,0.330923212
Incremental_MH,30,0.307079137
Incremental_MH,30,0.30667724
Incremental_MH,30,0.311618134
Incremental_MH,30,0.304500778
Incremental_MH,30,0.30016825
Incremental_MH,30,0.312253729
Incremental_MH,30,0.315271109
Incremental_MH,30,0.297062032
Incremental_MH,30,0.315828307
Incremental_MH,30,0.332971363
Incremental_MH,30,0.30161472
Incremental_MH,30,0.315539635
Incremental_MH,30,0.322049228
Incremental_MH,35,0.340199969
Incremental_MH,35,0.334876989
Incremental_MH,35,0.333004166
Incremental_MH,35,0.333890734
Incremental_MH,35,0.320838624
Incremental_MH,35,0.328114839
Incremental_MH,35,0.328731538
Incremental_MH,35,0.340674461
Incremental_MH,35,0.314633873
Incremental_MH,35,0.304728291
Incremental_MH,35,0.340553722
Incremental_MH,35,0.338784465
Incremental_MH,35,0.330953431
Incremental_MH,35,0.343220973
Incremental_MH,35,0.337062041
Incremental_MH,35,0.338064383
Incremental_MH,35,0.317577266
Incremental_MH,35,0.323533998
Incremental_MH,35,0.326048708
Incremental_MH,35,0.329042776
Incremental_MH,40,0.339744585
Incremental_MH,40,0.344220868
Incremental_MH,40,0.351802235
Incremental_MH,40,0.335480142
Incremental_MH,40,0.344227147
Incremental_MH,40,0.344904068
Incremental_MH,40,0.355758298
Incremental_MH,40,0.359280156
Incremental_MH,40,0.333659386
Incremental_MH,40,0.337783365
Incremental_MH,40,0.344251566
Incremental_MH,40,0.343189113
Incremental_MH,40,0.334714358
Incremental_MH,40,0.333335883
Incremental_MH,40,0.335344639
Incremental_MH,40,0.346443058
Incremental_MH,40,0.347117774
Incremental_MH,40,0.340534799
Incremental_MH,40,0.337692757
Incremental_MH,40,0.333615862
Incremental_MH,45,0.362478717
Incremental_MH,45,0.364951801
Incremental_MH,45,0.351912938
Incremental_MH,45,0.358575142
Incremental_MH,45,0.373351221
Incremental_MH,45,0.349271542
Incremental_MH,45,0.347247179
Incremental_MH,45,0.41932144
Incremental_MH,45,0.343495518
Incremental_MH,45,0.331025526
Incremental_MH,45,0.350140216
Incremental_MH,45,0.358057237
Incremental_MH,45,0.347166908
Incremental_MH,45,0.383283651
Incremental_MH,45,0.366467084
Incremental_MH,45,0.353467036
Incremental_MH,45,0.346180185
Incremental_MH,45,0.364814311
Incremental_MH,45,0.361099835
Incremental_MH,45,0.432575961
Incremental_MH,50,0.383624264
Incremental_MH,50,0.39086529
Incremental_MH,50,0.38452451
Incremental_MH,50,0.432022197
Incremental_MH,50,0.390950453
Incremental_MH,50,0.439123198
Incremental_MH,50,0.38241058
Incremental_MH,50,0.395830873
Incremental_MH,50,0.384089944
Incremental_MH,50,0.376417461
Incremental_MH,50,0.368103703
Incremental_MH,50,0.395202283
Incremental_MH,50,0.359981022
Incremental_MH,50,0.375988738
Incremental_MH,50,0.505185332
Incremental_MH,50,0.365022745
Incremental_MH,50,0.379702705
Incremental_MH,50,0.402338669
Incremental_MH,50,0.421199677
Incremental_MH,50,0.405827306
Incremental_MH_noCPS,5,0.938059337
Incremental_MH_noCPS,5,0.970627405
Incremental_MH_noCPS,5,0.902742687
Incremental_MH_noCPS,5,0.874092116
Incremental_MH_noCPS,5,0.851676014
Incremental_MH_noCPS,5,0.82843547
Incremental_MH_noCPS,5,0.917139044
Incremental_MH_noCPS,5,0.832261627
Incremental_MH_noCPS,5,0.843689588
