infMethod,nObservations,time
Incremental_MH,30,0.88645314
Incremental_MH,30,0.897337041
Incremental_MH,30,0.925719613
Incremental_MH,30,0.874888186
Incremental_MH,30,0.883659169
Incremental_MH,30,0.879095928
Incremental_MH,30,0.873893869
Incremental_MH,30,0.903873062
Incremental_MH,30,0.861480296
Incremental_MH,30,0.867500452
Incremental_MH,30,0.860836966
Incremental_MH,30,0.885612786
Incremental_MH,30,0.870721642
Incremental_MH,30,0.872851891
Incremental_MH,30,0.853574581
Incremental_MH,30,0.876205376
Incremental_MH,30,0.847297535
Incremental_MH,40,0.904035569
Incremental_MH,40,0.877379566
Incremental_MH,40,0.9425088
Incremental_MH,40,0.908784837
Incremental_MH,40,0.91417745
Incremental_MH,40,0.915625778
Incremental_MH,40,0.923469339
Incremental_MH,40,0.928346007
Incremental_MH,40,0.933355474
Incremental_MH,40,0.938240705
Incremental_MH,40,0.952078729
Incremental_MH,40,0.957642526
Incremental_MH,40,0.951743955
Incremental_MH,40,0.900634773
Incremental_MH,40,0.8983134
Incremental_MH,40,0.969425236
Incremental_MH,40,0.82716567
Incremental_MH,40,0.735631979
Incremental_MH,40,0.82453839
Incremental_MH,40,0.801155472
Incremental_MH,50,0.813682447
Incremental_MH,50,0.796210595
Incremental_MH,50,0.810600288
Incremental_MH,50,0.80960575
Incremental_MH,50,0.826622127
Incremental_MH,50,0.806135073
Incremental_MH,50,0.802584538
Incremental_MH,50,0.821933424
Incremental_MH,50,0.834269653
Incremental_MH,50,0.836497162
Incremental_MH,50,0.80804672
Incremental_MH,50,0.827510301
Incremental_MH,50,0.804612482
Incremental_MH,50,0.849038519
Incremental_MH,50,0.846421413
Incremental_MH,50,0.820200067
Incremental_MH,50,0.883931041
Incremental_MH,50,0.830139791
Incremental_MH,50,0.855293865
Incremental_MH,50,0.842398526
Incremental_MH,60,0.835733451
Incremental_MH,60,0.844376424
Incremental_MH,60,0.908402165
Incremental_MH,60,0.930479766
Incremental_MH,60,0.855679174
Incremental_MH,60,0.807727956
Incremental_MH,60,0.82638953
Incremental_MH,60,0.847833259
Incremental_MH,60,0.848332159
Incremental_MH,60,0.873229273
Incremental_MH,60,0.868268545
Incremental_MH,60,0.839248286
Incremental_MH,60,0.838033007
Incremental_MH,60,0.87325544
Incremental_MH,60,0.855493074
Incremental_MH,60,0.886085402
Incremental_MH,60,0.882560679
Incremental_MH,60,0.851073789
Incremental_MH,60,0.840566993
Incremental_MH,60,0.86605458
Incremental_MH,70,0.866925068
Incremental_MH,70,0.842515192
Incremental_MH,70,0.837932511
Incremental_MH,70,0.797978262
Incremental_MH,70,0.833516002
Incremental_MH,70,0.817492667
Incremental_MH,70,0.812132379
Incremental_MH,70,0.830327342
Incremental_MH,70,0.813696534
Incremental_MH,70,0.780914295
Incremental_MH,70,0.880754637
Incremental_MH,70,0.956693808
Incremental_MH,70,0.913951467
Incremental_MH,70,0.892613846
Incremental_MH,70,0.894416288
Incremental_MH,70,0.939858779
Incremental_MH,70,0.927714939
Incremental_MH,70,1.005633451
Incremental_MH,70,0.985319086
Incremental_MH,70,1.002958297
Incremental_MH,80,0.900902044
Incremental_MH,80,0.893757726
Incremental_MH,80,0.920299483
Incremental_MH,80,0.930241571
Incremental_MH,80,0.948559598
Incremental_MH,80,0.892177142
Incremental_MH,80,0.923782789
Incremental_MH,80,0.924418434
Incremental_MH,80,0.90878943
Incremental_MH,80,0.866721284
Incremental_MH,80,0.865543984
Incremental_MH,80,0.892052651
Incremental_MH,80,0.907965008
Incremental_MH,80,0.895426142
Incremental_MH,80,0.904408738
Incremental_MH,80,0.898706693
Incremental_MH,80,0.911095893
Incremental_MH,80,0.857899568
Incremental_MH,80,0.882740989
Incremental_MH,80,0.904617138
Incremental_MH,90,0.902973945
Incremental_MH,90,0.904571825
Incremental_MH,90,0.943262282
Incremental_MH,90,0.924918717
Incremental_MH,90,0.936665261
Incremental_MH,90,0.918265829
Incremental_MH,90,0.891121812
Incremental_MH,90,0.916772287
Incremental_MH,90,0.91835534
Incremental_MH,90,0.955390352
Incremental_MH,90,0.906459744
Incremental_MH,90,0.854784633
Incremental_MH,90,0.916725896
Incremental_MH,90,0.919293395
Incremental_MH,90,0.916501758
Incremental_MH,90,0.93255674
Incremental_MH,90,0.894975167
Incremental_MH,90,0.964341819
Incremental_MH,90,0.939831218
Incremental_MH,90,0.914630196
Incremental_MH,100,0.929451705
Incremental_MH,100,0.938424038
Incremental_MH,100,0.93454934
Incremental_MH,100,0.945701818
Incremental_MH,100,0.986435295
Incremental_MH,100,0.989785355
Incremental_MH,100,0.951197579
