infMethod,modelSize,time
Incremental_MH,9,0.750243758
Incremental_MH,9,0.703244161
Incremental_MH,9,0.728712104
Incremental_MH,9,0.723595598
Incremental_MH,9,0.709851099
Incremental_MH,9,0.707635637
Incremental_MH,9,0.679238667
Incremental_MH,9,0.709470298
Incremental_MH,9,0.765120457
Incremental_MH,9,0.712083462
Incremental_MH,9,0.72874843
Incremental_MH,9,0.73757705
Incremental_MH,9,0.780473225
Incremental_MH,9,0.743443853
Incremental_MH,10,0.77216775
Incremental_MH,10,0.758521625
Incremental_MH,10,0.751898949
Incremental_MH,10,0.81202416
Incremental_MH,10,0.772916586
Incremental_MH,10,0.791757453
Incremental_MH,10,0.756370799
Incremental_MH,10,0.748734542
Incremental_MH,10,0.754535079
Incremental_MH,10,0.792283984
Incremental_MH,10,0.769174829
Incremental_MH,10,0.769264219
Incremental_MH,10,0.78730974
Incremental_MH,10,0.788057226
Incremental_MH,10,0.771161291
Incremental_MH,10,0.758464803
Incremental_MH,10,0.832875089
Incremental_MH,10,0.776295191
Incremental_MH,10,0.762481895
Incremental_MH,10,0.779604331
