model,infMethod,modelSize,time
hmm,Incremental_MH,7,0.540442312
hmm,Incremental_MH,7,0.549605449
hmm,Incremental_MH,7,0.622247253
hmm,Incremental_MH,7,0.557786273
hmm,Incremental_MH,7,0.54023352
hmm,Incremental_MH,7,0.583082333
hmm,Incremental_MH,7,0.559610077
hmm,Incremental_MH,7,0.551280782
hmm,Incremental_MH,7,0.53075319
hmm,Incremental_MH,7,0.546295886
hmm,Incremental_MH,7,0.53545694
hmm,Incremental_MH,7,0.542238893
hmm,Incremental_MH,8,0.61720282
hmm,Incremental_MH,8,0.696366001
hmm,Incremental_MH,8,0.622239169
hmm,Incremental_MH,8,0.629463088
hmm,Incremental_MH,8,0.624436491
hmm,Incremental_MH,8,0.656159367
hmm,Incremental_MH,8,0.60953653
hmm,Incremental_MH,8,0.636880776
hmm,Incremental_MH,8,0.640346727
hmm,Incremental_MH,8,0.63475805
hmm,Incremental_MH,8,0.637490442
hmm,Incremental_MH,8,0.622295589
hmm,Incremental_MH,8,0.644196402
hmm,Incremental_MH,8,0.67997326
hmm,Incremental_MH,8,0.624034271
hmm,Incremental_MH,8,0.618354603
hmm,Incremental_MH,8,0.63114704
hmm,Incremental_MH,8,0.621647901
hmm,Incremental_MH,8,0.604025749
hmm,Incremental_MH,8,0.616010572
hmm,Incremental_MH,9,0.729499207
hmm,Incremental_MH,9,0.69395935
hmm,Incremental_MH,9,0.697855728
hmm,Incremental_MH,9,0.700546546
hmm,Incremental_MH,9,0.715556199
hmm,Incremental_MH,9,0.740996747
hmm,Incremental_MH,9,0.750243758
hmm,Incremental_MH,9,0.703244161
hmm,Incremental_MH,9,0.728712104
hmm,Incremental_MH,9,0.723595598
hmm,Incremental_MH,9,0.709851099
hmm,Incremental_MH,9,0.707635637
hmm,Incremental_MH,9,0.679238667
hmm,Incremental_MH,9,0.709470298
hmm,Incremental_MH,9,0.765120457
hmm,Incremental_MH,9,0.712083462
hmm,Incremental_MH,9,0.72874843
hmm,Incremental_MH,9,0.73757705
hmm,Incremental_MH,9,0.780473225 
hmm,Incremental_MH,9,0.743443853
hmm,Incremental_MH,10,0.77216775
hmm,Incremental_MH,10,0.758521625
hmm,Incremental_MH,10,0.751898949
hmm,Incremental_MH,10,0.81202416
hmm,Incremental_MH,10,0.772916586
hmm,Incremental_MH,10,0.791757453
hmm,Incremental_MH,10,0.756370799
hmm,Incremental_MH,10,0.748734542
hmm,Incremental_MH,10,0.754535079
hmm,Incremental_MH,10,0.792283984
hmm,Incremental_MH,10,0.769174829
hmm,Incremental_MH,10,0.769264219
hmm,Incremental_MH,10,0.78730974
hmm,Incremental_MH,10,0.788057226
hmm,Incremental_MH,10,0.771161291
hmm,Incremental_MH,10,0.758464803
hmm,Incremental_MH,10,0.832875089
hmm,Incremental_MH,10,0.776295191
hmm,Incremental_MH,10,0.762481895
hmm,Incremental_MH,10,0.779604331
lda,Lightweight_MH,1,1.347470616
lda,Lightweight_MH,1,1.292191523
lda,Lightweight_MH,1,1.425568151
lda,Lightweight_MH,1,1.449530642
lda,Lightweight_MH,1,1.442783494
lda,Lightweight_MH,1,1.381975995
lda,Lightweight_MH,1,1.454231367
lda,Lightweight_MH,1,1.51530532
lda,Lightweight_MH,1,1.347228771
lda,Lightweight_MH,1,1.537524684
lda,Lightweight_MH,1,1.479259087
lda,Lightweight_MH,1,1.609183361
lda,Lightweight_MH,1,1.53352977
lda,Lightweight_MH,1,1.520059842
lda,Lightweight_MH,1,1.528561944
lda,Lightweight_MH,1,1.528837775
lda,Lightweight_MH,1,1.535385308
lda,Lightweight_MH,1,1.523748589
lda,Lightweight_MH,1,1.475964649
lda,Lightweight_MH,1,1.467292262
lda,Lightweight_MH,2,2.6366095229999997
lda,Lightweight_MH,2,2.692185478
lda,Lightweight_MH,2,2.574544687
lda,Lightweight_MH,2,2.552223322
lda,Lightweight_MH,2,2.687276892
lda,Lightweight_MH,2,2.701164312
lda,Lightweight_MH,2,2.783823617
lda,Lightweight_MH,2,2.716765252
lda,Lightweight_MH,2,3.070980706
lda,Lightweight_MH,2,2.8636843130000003
lda,Lightweight_MH,2,2.992703575
lda,Lightweight_MH,2,3.130510008
lda,Lightweight_MH,2,3.219857133
lda,Lightweight_MH,2,2.968135497
lda,Lightweight_MH,2,3.094606357
lda,Lightweight_MH,2,2.922643603
lda,Lightweight_MH,2,3.140332105
lda,Lightweight_MH,2,3.260016665
lda,Lightweight_MH,2,3.224633852
lda,Lightweight_MH,2,3.3021092
lda,Lightweight_MH,3,4.505693351
lda,Lightweight_MH,3,4.537078083
lda,Lightweight_MH,3,4.701474343
lda,Lightweight_MH,3,4.855837425
lda,Lightweight_MH,3,4.916654422
lda,Lightweight_MH,3,5.112626019
lda,Lightweight_MH,3,4.698391331
lda,Lightweight_MH,3,4.625942229
lda,Lightweight_MH,3,4.999347976
lda,Lightweight_MH,3,4.951969149
lda,Lightweight_MH,3,5.147246155
lda,Lightweight_MH,3,5.028369009
lda,Lightweight_MH,3,5.428961721
lda,Lightweight_MH,3,5.240273506
lda,Lightweight_MH,3,5.053461651
lda,Lightweight_MH,3,5.027155564
lda,Lightweight_MH,3,5.086674747
lda,Lightweight_MH,3,5.233146674
lda,Lightweight_MH,3,5.40876836
lda,Lightweight_MH,3,5.247486587
lda,Lightweight_MH,4,7.362986352
lda,Lightweight_MH,4,7.394806533
lda,Lightweight_MH,4,6.6168724789999995
lda,Lightweight_MH,4,6.8822313489999996
lda,Lightweight_MH,4,7.2967803700000005
lda,Lightweight_MH,4,7.103852735
lda,Lightweight_MH,4,7.781341467
lda,Lightweight_MH,4,7.289544436
lda,Lightweight_MH,4,7.854641653
lda,Lightweight_MH,4,7.629423754
lda,Lightweight_MH,4,6.821709707
lda,Lightweight_MH,4,7.053631692
lda,Lightweight_MH,4,7.146665771
lda,Lightweight_MH,4,7.202544261
lda,Lightweight_MH,4,7.445991177
lda,Lightweight_MH,4,7.6555695230000005
lda,Lightweight_MH,4,7.994874913
lda,Lightweight_MH,4,8.373730857
lda,Lightweight_MH,4,8.69823134
lda,Lightweight_MH,4,7.086440268
lda,Lightweight_MH,5,9.169278376
lda,Lightweight_MH,5,9.725051714
lda,Lightweight_MH,5,9.343431825
lda,Lightweight_MH,5,9.82706859
lda,Lightweight_MH,5,10.030363271
lda,Lightweight_MH,5,10.6217546
lda,Lightweight_MH,5,11.349325451
lda,Lightweight_MH,5,10.019509605
lda,Lightweight_MH,5,9.388895602
lda,Lightweight_MH,5,9.82147246
lda,Lightweight_MH,5,9.919482443
lda,Lightweight_MH,5,9.884614045
lda,Lightweight_MH,5,10.578840737
lda,Lightweight_MH,5,11.024069031
lda,Lightweight_MH,5,10.974648912
lda,Lightweight_MH,5,8.693473976
lda,Lightweight_MH,5,9.215770473
lda,Lightweight_MH,5,9.255987358
lda,Lightweight_MH,5,9.851862687
lda,Lightweight_MH,5,10.386838777
lda,Lightweight_MH,6,12.94336474
lda,Lightweight_MH,6,13.353589978
lda,Lightweight_MH,6,12.517580294
lda,Lightweight_MH,6,11.356210511
lda,Lightweight_MH,6,11.673295893
lda,Lightweight_MH,6,12.300026853
lda,Lightweight_MH,6,12.901565099
lda,Lightweight_MH,6,13.243099811
lda,Lightweight_MH,6,13.297452911
lda,Lightweight_MH,6,10.992644481
lda,Lightweight_MH,6,11.28756227
lda,Lightweight_MH,6,11.945590473
lda,Lightweight_MH,6,12.298911113
lda,Lightweight_MH,6,12.615825693
lda,Lightweight_MH,6,12.617369364
lda,Lightweight_MH,6,13.336585287
lda,Lightweight_MH,6,10.933202525
lda,Lightweight_MH,6,11.689007806
lda,Lightweight_MH,6,12.016559588
lda,Lightweight_MH,6,12.23506693
lda,Lightweight_MH,7,15.654460656
lda,Lightweight_MH,7,16.826239058
lda,Lightweight_MH,7,12.953666897
lda,Lightweight_MH,7,13.249305524
lda,Lightweight_MH,7,14.357992333
lda,Lightweight_MH,7,15.180731806
lda,Lightweight_MH,7,15.82338403
lda,Lightweight_MH,7,15.886480531
lda,Lightweight_MH,7,13.091359937
lda,Lightweight_MH,7,14.301302641
lda,Lightweight_MH,7,14.67146882
lda,Lightweight_MH,7,15.48870033
lda,Lightweight_MH,7,15.425694123
lda,Lightweight_MH,7,14.248870466
lda,Lightweight_MH,7,13.475814903
lda,Lightweight_MH,7,14.179878655
lda,Lightweight_MH,7,15.548265965
lda,Lightweight_MH,7,15.560762185
lda,Lightweight_MH,7,16.108033854
lda,Lightweight_MH,7,13.015547729
lda,Lightweight_MH,8,16.31797018
lda,Lightweight_MH,8,16.9070914
lda,Lightweight_MH,8,17.906611103
lda,Lightweight_MH,8,18.553740042
lda,Lightweight_MH,8,15.568064624
lda,Lightweight_MH,8,15.340601506
lda,Lightweight_MH,8,17.123462033
lda,Lightweight_MH,8,17.785893679
lda,Lightweight_MH,8,18.341828122
lda,Lightweight_MH,8,15.416901049
lda,Lightweight_MH,8,16.495168727
lda,Lightweight_MH,8,17.537975856
lda,Lightweight_MH,8,18.168955789
lda,Lightweight_MH,8,15.971444181
lda,Lightweight_MH,8,15.396949904
lda,Lightweight_MH,8,15.666714724
lda,Lightweight_MH,8,16.552996823
lda,Lightweight_MH,8,17.695323255
lda,Lightweight_MH,8,15.646454448
lda,Lightweight_MH,8,15.020761223
lda,Lightweight_MH,9,18.23765099
lda,Lightweight_MH,9,19.634248146
lda,Lightweight_MH,9,19.088866966
lda,Lightweight_MH,9,16.839924995
lda,Lightweight_MH,9,17.943850397
lda,Lightweight_MH,9,19.538131726
lda,Lightweight_MH,9,19.106069911
lda,Lightweight_MH,9,17.298287846
lda,Lightweight_MH,9,18.050373901
lda,Lightweight_MH,9,19.074672663
lda,Lightweight_MH,9,20.068780928
lda,Lightweight_MH,9,17.077730745
lda,Lightweight_MH,9,17.96141755
lda,Lightweight_MH,9,19.06393961
lda,Lightweight_MH,9,19.816102784999998
lda,Lightweight_MH,9,16.447258257
lda,Lightweight_MH,9,17.909025532
lda,Lightweight_MH,9,19.160889448
lda,Lightweight_MH,9,20.726869773
lda,Lightweight_MH,9,16.864132526
lda,Lightweight_MH,10,20.067237818
lda,Lightweight_MH,10,22.088999192
lda,Lightweight_MH,10,22.139507377
